quote_date,expiration,strike,option_type,underlying_price,bid,ask,mid,volume,open_interest,implied_volatility,moneyness,tte,delta,gamma,vega,theta,z_vol_oi,z_iv,z_spread,iv_residual,pcp_deviation,pcp_dev_pct,if_score_pct,composite_score,flag_wide_spread,flag_zscore_anomaly,flag_surface_anomaly,flag_pcp_violation,flag_greeks_anomaly,if_anomaly
2026-04-21,2027-06-17,50.0,P,706.8800048828125,0.03,0.05,0.04,8.0,506.0,0.7929708203125,0.07073336302430717,422,-0.00016550006626831623,1.0523450292271897e-06,0.0048208802229178765,-0.0004360701779577082,-0.06789308126067002,2.7225919051690584,3.6149597121696804,0.007089647326092741,7.662603708616416,0.02332621613647045,0.6285135096419053,4,True,True,False,True,False,True
2026-04-21,2027-01-15,110.0,C,706.8800048828125,599.37,602.88,601.125,50.0,0.0,1.2331581311035156,0.15561339865347576,269,0.9802241813462939,3.631781267133148e-05,0.16492605277910344,-0.0759843958915301,4.593796249732355,5.105538349996918,-0.34988710617911406,0.4631177959014563,6.724340283258584,0.02236786781169469,1.0,4,False,True,True,True,False,True
2026-04-21,2026-05-15,790.0,P,706.8800048828125,128.06,130.86,129.46,2.0,0.0,1.0436144010925297,1.1175871357840532,24,-0.6066862449075043,0.002030595993585273,0.6962630689437956,-1.449980155201097,0.11716174736291861,4.0794466238237215,-0.22320376659264354,0.8549319480504092,-48.387563989609646,-0.7472694219117444,0.7149548123826525,4,False,False,True,True,True,True
2026-04-21,2026-05-15,785.0,P,706.8800048828125,123.07,125.86,124.465,2.0,0.0,1.0228930691528322,1.1105137994816225,24,-0.6015574221984313,0.0020790716927497907,0.6987301333448486,-1.426271936273262,0.11716174736291861,3.9672720493475326,-0.21688423808385549,0.8321741846154359,-48.36549729286324,-0.7768309752012892,0.7076532665567026,4,False,False,True,True,True,True
2026-04-21,2026-05-15,360.0,P,706.8800048828125,0.01,0.02,0.015,21.0,4810.0,0.789064609375,0.5092802137750116,24,-0.000281419993813711,7.286093285204136e-06,0.001888935218977375,-0.003082402727359562,-0.06895759657652986,2.701445699365133,4.952191651349858,0.30328771610592675,0.2551719305741358,0.001467390834162828,0.6226885016223391,4,True,True,True,False,False,True
2026-04-21,2026-05-15,365.0,P,706.8800048828125,0.01,0.02,0.015,56.0,2014.0,0.773439765625,0.5163535500774423,24,-0.00028553838078852387,7.534536726424023e-06,0.0019146651077418147,-0.003062071398916383,-0.06677275958927473,2.616860876149431,4.952191651349858,0.2925356138891848,,,0.6180752646599548,4,True,True,True,False,False,True
2026-04-21,2026-04-22,711.0,P,706.8800048828125,5.32,5.38,5.35,8823.0,1603.0,0.13660531372070314,1.005828422205648,1,-0.7864472445060106,0.0575763107828709,0.10767377929550166,-0.6753771890895034,0.44364115731206116,-0.8306314888217958,-0.3067541431082628,-0.1626175560004233,-0.3811147186625474,-0.12147078794956478,0.6171529433889178,3,False,False,False,True,True,True
2026-04-21,2026-04-21,719.0,C,706.8800048828125,0.01,0.02,0.015,5259.0,1774.0,0.14258669921875,1.017145760289537,1,0.011915993297967968,0.0058843463475164726,0.011486184089390008,-0.08338578541029817,0.2069571507026999,-0.798251361184535,4.952191651349858,-0.20730892919815047,-0.5822543635077864,-0.09201963990330247,0.6487728176707298,3,True,False,False,True,False,True
2026-04-21,2027-12-17,215.0,C,706.8800048828125,456.0,460.2,458.1,1.0,3.0,1.0000000000000003e-05,0.30415346100452084,605,0.9786825532081472,0.0,0.0,-0.05274049571225388,-0.04604888553596708,-1.5700878730278152,-0.3231752128422782,-0.6206825306218453,-38.01619970018737,-0.1654136823007666,0.531202741946891,3,False,False,True,True,False,True
2026-04-21,2027-12-17,240.0,C,706.8800048828125,452.5,457.23,454.865,2.0,7.0,1.0000000000000003e-05,0.3395201425166744,605,0.9786825532081472,0.0,0.0,-0.05600801284226221,-0.04604888553596708,-1.5700878730278152,-0.3133033452465671,-0.5918140952481721,-18.765742922244215,-0.08215005675678443,0.5271470285270243,3,False,False,True,True,False,True
